image_id,path,label,generator,content_id,caption_id,caption,caption_method,seed
data/aigc_stage_a/GLIDE/000011.jpg,data/aigc_stage_a/GLIDE/000011.jpg,1,GLIDE,aigc_11,0,a view of a mountain with a river running through it,blip_base,
data/aigc_stage_a/GLIDE/000011.jpg,data/aigc_stage_a/GLIDE/000011.jpg,1,GLIDE,aigc_11,1,an image depicting a view of a mountain with a river running through it,depicting,
data/aigc_stage_a/GLIDE/000011.jpg,data/aigc_stage_a/GLIDE/000011.jpg,1,GLIDE,aigc_11,2,a scene showing a view of a mountain with a river running through it,scene,
data/aigc_stage_a/GLIDE/000011.jpg,data/aigc_stage_a/GLIDE/000011.jpg,1,GLIDE,aigc_11,3,a detailed view of a view of a mountain with a river running through it,detailed,
data/aigc_stage_a/GLIDE/000011.jpg,data/aigc_stage_a/GLIDE/000011.jpg,1,GLIDE,aigc_11,4,an image featuring a view of a mountain with a river running through it,featuring,
data/aigc_stage_a/SD14/000187.jpg,data/aigc_stage_a/SD14/000187.jpg,1,SD14,aigc_187,0,a fish with a long tail and a long tail,blip_base,
data/aigc_stage_a/SD14/000187.jpg,data/aigc_stage_a/SD14/000187.jpg,1,SD14,aigc_187,1,an image depicting a fish with a long tail and a long tail,depicting,
data/aigc_stage_a/SD14/000187.jpg,data/aigc_stage_a/SD14/000187.jpg,1,SD14,aigc_187,2,a scene showing a fish with a long tail and a long tail,scene,
data/aigc_stage_a/SD14/000187.jpg,data/aigc_stage_a/SD14/000187.jpg,1,SD14,aigc_187,3,a detailed view of a fish with a long tail and a long tail,detailed,
data/aigc_stage_a/SD14/000187.jpg,data/aigc_stage_a/SD14/000187.jpg,1,SD14,aigc_187,4,an image featuring a fish with a long tail and a long tail,featuring,
data/aigc_stage_a/real/000226.jpg,data/aigc_stage_a/real/000226.jpg,0,real,aigc_226,0,a woman with long hair and a green dress,blip_base,
data/aigc_stage_a/real/000226.jpg,data/aigc_stage_a/real/000226.jpg,0,real,aigc_226,1,an image depicting a woman with long hair and a green dress,depicting,
data/aigc_stage_a/real/000226.jpg,data/aigc_stage_a/real/000226.jpg,0,real,aigc_226,2,a scene showing a woman with long hair and a green dress,scene,
data/aigc_stage_a/real/000226.jpg,data/aigc_stage_a/real/000226.jpg,0,real,aigc_226,3,a detailed view of a woman with long hair and a green dress,detailed,
